Property code,Page,Must fix,Issues,Status,Last enforcement date,First enforcement date,Publisher contact,Request Review ,Fixed
ca-video-pub-1474238860523410,news.mt.co.kr/mtview.php?no=2018101816115693609,No,Adult: Sexual content,Restricted demand,2020-01-06,2020-01-06,,,
ca-video-pub-1474238860523410,news.mt.co.kr/mtview.php?no=2018102109394780909,No,Adult: Sexual content,Restricted demand,2020-01-07,2020-01-02,,,
ca-video-pub-1474238860523410,news.mt.co.kr/mtview.php?no=2018103107404984013,No,Adult: Sexual content,Restricted demand,2020-01-06,2020-01-06,,,
ca-video-pub-1474238860523410,news.mt.co.kr/mtview.php?no=2018111309315554410,No,Adult: Sexual content,Restricted demand,2020-01-07,2020-01-07,,,
ca-video-pub-1474238860523410,news.mt.co.kr/mtview.php?no=2018111810264988396,No,Adult: Sexual content,Restricted demand,2020-01-07,2020-01-07,,,
ca-video-pub-1474238860523410,news.mt.co.kr/mtview.php?no=2018111915294820402,No,Adult: Sexual content,Restricted demand,2020-01-07,2020-01-04,,,
ca-video-pub-1474238860523410,news.mt.co.kr/mtview.php?no=2018112116440880390,No,Adult: Sexual content,Restricted demand,2020-01-06,2020-01-02,,,
ca-video-pub-1474238860523410,news.mt.co.kr/mtview.php?no=2018120821251784806,No,Adult: Sexual content,Restricted demand,2020-01-07,2020-01-02,,,
ca-video-pub-1474238860523410,news.mt.co.kr/mtview.php?no=2018120821251784806&VR,No,Adult: Sexual content,Restricted demand,2020-01-06,2020-01-02,,,
ca-video-pub-1474238860523410,news.mt.co.kr/mtview.php?no=2019011617324417572,No,Adult: Sexual content,Restricted demand,2020-01-07,2020-01-06,,,
ca-video-pub-1474238860523410,news.mt.co.kr/mtview.php?no=2019012717392692174,No,Adult: Sexual content,Restricted demand,2020-01-06,2020-01-02,,,
ca-video-pub-1474238860523410,news.mt.co.kr/mtview.php?no=2019013018445252242,No,Adult: Sexual content,Restricted demand,2020-01-07,2020-01-02,,,
ca-video-pub-1474238860523410,news.mt.co.kr/mtview.php?no=2019021918430613448,No,Adult: Sexual content,Restricted demand,2020-01-07,2020-01-02,,,
